"Sorting.code","Mesh.size","Leaf.condition","Genus","latitude","longitude","mean_kd","mean_mean_daily_temp","Citation"
2450,"fine","senesced","Quercus",64.21,20.2,0.0092,0.3,"McKie and Malmqvist 2008 FWB"
2451,"fine","senesced","Quercus",64.22,20.23,0.0056,0.7,"McKie and Malmqvist 2008 FWB"
2452,"fine","senesced","Quercus",64.2,20.36,0.0099,0.3,"McKie and Malmqvist 2008 FWB"
2453,"fine","senesced","Quercus",64.12,19.51,0.0118,0.2,"McKie and Malmqvist 2008 FWB"
2454,"fine","senesced","Quercus",64.12,19.53,0.017,0.1,"McKie and Malmqvist 2008 FWB"
2455,"fine","senesced","Quercus",63.53,20.12,0.0149,0.3,"McKie and Malmqvist 2008 FWB"
2456,"fine","senesced","Quercus",63.57,20.2,0.0166,0.1,"McKie and Malmqvist 2008 FWB"
2457,"coarse","senesced","Alnus",41.27,-7.51,0.0135,6.7,"Sampaio et al. 2001 IRH"
2458,"coarse","senesced","Quercus",41.27,-7.51,0.0085,6.7,"Sampaio et al. 2001 IRH"
2459,"coarse","senesced","Eucalyptus",41.27,-7.51,0.0083,6.7,"Sampaio et al. 2001 IRH"
2460,"coarse","senesced","Acer",39.35,-78.54,0.0124,12.7666666666667,"Simmons et al. 2008 Ecol Apps"
2469,"coarse","senesced","Alnus",22.25,114.1,0.0494,15.6,"Dudgeon and Gao 2011 FAL"
2471,"fine","green","Ficus",22.25,114.1,0.0226,15.6,"Dudgeon and Gao 2011 FAL"
2472,"fine","senesced","Liquidambar",22.25,114.1,0.0058,15.6,"Dudgeon and Gao 2011 FAL"
2474,"fine","senesced","Alnus",22.25,114.1,0.01,15.6,"Dudgeon and Gao 2011 FAL"
2492,"coarse","senesced","Populus",41.42,2.34,0.013125,11.875,"Artigas et al. 2011 IRH"
2493,"coarse","senesced","Platanus",41.42,2.34,0.0029,10.7,"Artigas et al. 2011 IRH"
2494,"coarse","senesced","Alnus",37.04,-3.01,0.014,6.8,"Casas et al. 2011 FWB"
2495,"coarse","senesced","Alnus",37.1,-3.01,0.0131,8.9,"Casas et al. 2011 FWB"
2496,"coarse","senesced","Alnus",37.01,-2.1,0.0104,9.4,"Casas et al. 2011 FWB"
2497,"coarse","senesced","Alnus",37.05,-2.04,0.0947,17.5,"Casas et al. 2011 FWB"
2498,"coarse","senesced","Alnus",37.05,-2.03,0.0111,16.2,"Casas et al. 2011 FWB"
2499,"coarse","senesced","Alnus",37.09,-2,0.0107,17.7,"Casas et al. 2011 FWB"
2500,"coarse","senesced","Alnus",36.5,-2.38,0.0168,16.6,"Casas et al. 2011 FWB"
2501,"coarse","senesced","Acer",44.5134,-68.0623,0.00853,4.96,"Chadwick and Huryn 2003 JNABS"
2507,"coarse","senesced","Acer",44.5135,-68.062,0.0059,5.26666666666667,"Chadwick and Huryn 2003 JNABS"
2517,"coarse","senesced","Fagus",44.5134,-68.0623,0.0024,6.1,"Chadwick and Huryn 2003 JNABS"
2519,"coarse","senesced","Fagus",44.5135,-68.062,0.0019,6.1,"Chadwick and Huryn 2003 JNABS"
2521,"coarse","senesced","Populus",-43.4,172.17,0.0205666666666667,16.5,"Corti et al. 2011 Aq Sci"
2524,"fine","senesced","Platanus",30.27,-88.5,0.0014,19.1,"Smart and Jackson 2009 Microbial Ecology"
2525,"coarse","senesced","Fagus",50.3947,10.5511,0.0054,5.8,"Spanhoff et al 2007 Aquatic Sciences"
2526,"coarse","senesced","Fagus",50.4054,10.5223,0.0099,4.9,"Spanhoff et al 2007 Aquatic Sciences"
2527,"coarse","senesced","Fagus",50.4041,10.5737,0.0087,6.6,"Spanhoff et al 2007 Aquatic Sciences"
2528,"coarse","senesced","Fagus",50.5037,11.1751,0.0038,7.2,"Spanhoff et al 2007 Aquatic Sciences"
2529,"fine","senesced","Alnus",41.3109,-8.1713,0.016,13.2,"Sridhar et al 2009 International Review of Hydrobiology"
2530,"fine","senesced","Alnus",41.3134,-8.1716,0.019,13.9,"Sridhar et al 2009 International Review of Hydrobiology"
2551,"coarse","senesced","Salix",29.39,-97.58,0.016,16.6,"Short et al. 1984 J of FW Ecol"
